채널,위치,곡,근거,등급
ORIGINAL,121,슈브 니구라스,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,122,퍼더,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,123,다람쥐 헌 쳇바퀴에 타고파,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,124,실버 비트 feat. ChisaUezono,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,125,브링 백 더 비트,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,126,브레이크 아웃,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,127,사라반드,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,128,가장신자,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,129,오버블로우2,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,130,패싱 라이더,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,131,아르카나 포스,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,132,알레그로 퓨리오소,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,133,앵귀시드 언메이킹,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,134,우츠시요 노 카제 feat. Kana,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,135,헤이 유,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,136,트위스트 오브 페이트 (feat. Ruriling),닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,137,HTTP,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,138,업 앤 업 (Produced by AWAL),닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,139,트래블 투 퓨처,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,140,레이브 언틸 디 어스 엔드,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,141,어웨이크닝,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,142,이스케이프,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,143,왈츠 오브 도지,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,144,하트 어택,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,145,네메시스,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,146,캇코이,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,147,라티노 바이러스,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,148,엘리시움,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,149,요그 소토스,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,150,실루엣 이펙트,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,151,차이니즈 레스토랑,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,152,아발란치,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,153,포스 오브 라,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,154,레퀴엠,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,155,유 갓 미 크레이지,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,156,B2,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,157,메테오라이즈,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,158,매드 사이언스,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,159,헤스티아,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,160,암피트리온,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,161,리키지 볼티지,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,162,리무버블 디스코,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,163,슈퍼 판타지,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,164,바이올렛 퍼퓸,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,165,레드 스완,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,166,히아신스,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,167,블레이즈 이모션 (Band version),닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,168,1950,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,169,설탕음모론,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,170,알레그로 피유 모쏘,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,171,어나이얼레이터 메소드,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,172,무브 댓 바디!,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,173,스콜피온 킹,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,174,포인트 제로 원,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,175,레드 스노우,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,176,캄파넬라,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,177,유 어게인 마이 러브,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,178,로봇 배틀,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,179,레미니센스,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,180,모멘트 데이,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,181,브레이크 잇 다운,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,182,하이퍼큐브,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,183,라이크 미,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,184,엘리제,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,185,이그니스 패터스(DM Ashura 믹스),닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,186,러브 이즈 어 데인저 존(Cranky 믹스),닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,187,힙노시스(SynthWulf 믹스),닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,188,에프 에프 에프,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,189,유니크,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,190,엑시던트,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,191,디,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,192,유 갓 미 락킹,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,193,루시드(PIU Edit),닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,194,로그인,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,195,윈드밀,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,196,팔로우 미,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,197,여래아,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,198,멘탈 라이더,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,199,클리너,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,200,인터퍼런스,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,201,리얼리티,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,202,테이크 아웃,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,203,버터플라이,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,204,오버블로우,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,205,위 갓 투 노우,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,206,헝가리 무곡 V,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,207,마왕,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,208,네이티브,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,209,야근,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,210,파반느,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,211,잣,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,212,ㅁㄴㅇㄹ,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,213,조나단의 꿈,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,214,엑스트리,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,215,소서리스 엘리제,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,216,사랑가 -2막-,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,217,유 갓 투 노우,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,218,데스티네이션,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,219,진공,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,220,두 잇 레게 스타일,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,221,제네시스,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,222,아리랑,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,223,테크 -클럽 코펜하겐-,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,224,안녕 윌리엄,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,225,터키 행진곡 -미니멀튠즈-,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,226,겟 업 (앤 고),닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,227,팬텀 -인터메조-,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,228,미션 파서블 -블로우 백-,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,229,펌핑 점핑,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,230,테프리스,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,231,네이팜,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,232,블레이즈 이모션,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,233,캐논 X.1,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,234,젓가락 변주곡,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,235,사람들은 몰랐다네,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,236,디제이 오타다,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,237,케이.오.에이 : 엘리스 인 원더월드,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,238,마이 드림즈,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,239,토카타,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,240,파이널 오디션 에피소드 2-X,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,241,펌트리스 8비트 ver.,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,242,무혼 1.5,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,243,비트 더 고스트,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,244,카프리스 오브 오타다,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,245,머니,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,246,몽키 핑거즈 2,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,247,패스터 Z,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,248,펌트리스 꽈뜨로,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,249,기타 맨,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,250,히글디 피글디,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,251,잼 오 비트,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,252,위치 닥터 #1,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,253,아크 오브 다크니스,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,254,키메라,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,255,사랑가 2006,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,256,두 유 노우 댓-올드 스쿨,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,257,건락,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,258,투우사의 노래,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,259,미운 오리 새끼,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,260,파이널 오디션 에피소드 2-1,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,261,파이널 오디션 에피소드 2-2,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,298,틸 디 엔드 오브 타임,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,299,오이 오이 오이,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,300,위 윌 밋 어게인,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,301,미스 에스 스토리,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,302,셋 미 업,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,303,댄스 위드 미,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,304,부크,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,305,우편마차,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,306,치킨 윙,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,307,라젠스키 캉캉,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,308,파이널 오디션 에피소드 1,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,309,펌프 점프,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,310,엔,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,311,롤링 크리스마스,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,312,올 아이 원트 포 크리스마스,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,313,베토벤 바이러스,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,314,오! 로사,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,315,첫사랑,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,316,사랑가,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,317,무혼,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,318,미스터 라푸스,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,319,파이널 오디션 2,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,320,태동,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,321,터키 행진곡,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,322,님과 함께,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,323,서울구경,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,324,악몽,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,325,눈을 감아,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,326,프리 스타일,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,327,미드나잇 블루,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,328,그녀는 피자를 좋아해,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,329,펌핑업,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,330,파이널 오디션,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
ORIGINAL,331,엑스트라바간자,마지막 닻의 밀림 +4 이 총 차이(335−331)와 같아 뒤로 더 빠질 것이 없다,구간확정
